period,state,stateDescription,direct-use,direct-use-units
2023,AK,Alaska,257915,megawatthours
2023,AL,Alabama,5491093,megawatthours
2023,NE,Nebraska,419370,megawatthours
2023,ND,North Dakota,179455,megawatthours
2023,NC,North Carolina,1688675,megawatthours
2023,MT,Montana,19794,megawatthours
2023,MS,Mississippi,1807889,megawatthours
2023,MO,Missouri,304533,megawatthours
2023,MN,Minnesota,1629077,megawatthours
2023,MI,Michigan,2273308,megawatthours
2023,ME,Maine,1455744,megawatthours
2023,MD,Maryland,291383,megawatthours
2023,MA,Massachusetts,793542,megawatthours
2023,LA,Louisiana,17064723,megawatthours
2023,PA,Pennsylvania,6951189,megawatthours
2023,OR,Oregon,489024,megawatthours
2023,OK,Oklahoma,829745,megawatthours
2023,OH,Ohio,1060245,megawatthours
2023,NY,New York,2521420,megawatthours
2023,NV,Nevada,122227,megawatthours
2023,NM,New Mexico,203730,megawatthours
2023,NJ,New Jersey,1628531,megawatthours
2023,WY,Wyoming,1532624,megawatthours
2023,WV,West Virginia,670704,megawatthours
2023,WI,Wisconsin,1491689,megawatthours
2023,WA,Washington,675647,megawatthours
2023,VT,Vermont,3439,megawatthours
2023,VA,Virginia,2349847,megawatthours
2023,UT,Utah,409020,megawatthours
2023,US,United States,136918155,megawatthours
2023,TX,Texas,38881800,megawatthours
2023,TN,Tennessee,2222243,megawatthours
2023,SD,South Dakota,59006,megawatthours
2023,SC,South Carolina,2223901,megawatthours
2023,RI,Rhode Island,222124,megawatthours
2023,ID,Idaho,601729,megawatthours
2023,IA,Iowa,2225622,megawatthours
2023,HI,Hawaii,196737,megawatthours
2023,GA,Georgia,4764167,megawatthours
2023,FL,Florida,3905015,megawatthours
2023,DE,Delaware,707486,megawatthours
2023,DC,District of Columbia,149439,megawatthours
2023,CT,Connecticut,925931,megawatthours
2023,CO,Colorado,251618,megawatthours
2023,CA,California,13048166,megawatthours
2023,AZ,Arizona,164805,megawatthours
2023,AR,Arkansas,1062832,megawatthours
2023,KY,Kentucky,347254,megawatthours
2023,KS,Kansas,290930,megawatthours
2023,IN,Indiana,6993556,megawatthours
2023,IL,Illinois,3017876,megawatthours
2023,NH,New Hampshire,40336,megawatthours
2022,MA,Massachusetts,838517,megawatthours
2022,LA,Louisiana,19472417,megawatthours
2022,PA,Pennsylvania,6388281,megawatthours
2022,OR,Oregon,420486,megawatthours
2022,OK,Oklahoma,929280,megawatthours
2022,OH,Ohio,1156734,megawatthours
2022,NY,New York,2464796,megawatthours
2022,NV,Nevada,111919,megawatthours
2022,NM,New Mexico,155868,megawatthours
2022,NJ,New Jersey,1518703,megawatthours
2022,WY,Wyoming,1495201,megawatthours
2022,WV,West Virginia,540028,megawatthours
2022,WI,Wisconsin,1509946,megawatthours
2022,WA,Washington,750773,megawatthours
2022,VT,Vermont,3776,megawatthours
2022,VA,Virginia,2420014,megawatthours
2022,UT,Utah,585418,megawatthours
2022,US,United States,139725701,megawatthours
2022,TX,Texas,37662709,megawatthours
2022,TN,Tennessee,2200590,megawatthours
2022,SD,South Dakota,69385,megawatthours
2022,SC,South Carolina,2568082,megawatthours
